date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:35:35	95825/95825	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2027%20Mar%202015%2018:51:06%20GMT	https://demoxml.com/html/educampus/js/vendor/jquery.1.11.1.js	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/js/vendor/jquery.1.11.1.js	(from https://demoxml.com/html/educampus/index.html)
11:35:36	35951/35951	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2016%20Mar%202015%2011:42:10%20GMT	https://demoxml.com/html/educampus/js/bootstrap.min.js	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/js/bootstrap.min.js	(from https://demoxml.com/html/educampus/index.html)
11:35:36	8051/8051	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2024%20Mar%202015%2015:31:10%20GMT	https://demoxml.com/html/educampus/js/waypoints.min.js	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/js/waypoints.min.js	(from https://demoxml.com/html/educampus/index.html)
11:35:36	1067/1067	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Mar%202015%2017:09:54%20GMT	https://demoxml.com/html/educampus/js/jquery.counterup.min.js	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/js/jquery.counterup.min.js	(from https://demoxml.com/html/educampus/index.html)
11:35:37	6967/6967	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Mar%202015%2017:09:54%20GMT	https://demoxml.com/html/educampus/js/jquery.easing.1.3.min.js	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/js/jquery.easing.1.3.min.js	(from https://demoxml.com/html/educampus/index.html)
11:35:37	40401/40401	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Mar%202015%2017:09:52%20GMT	https://demoxml.com/html/educampus/js/owl.carousel.min.js	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/js/owl.carousel.min.js	(from https://demoxml.com/html/educampus/index.html)
11:35:38	7082/7082	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2023%20Mar%202015%2017:09:50%20GMT	https://demoxml.com/html/educampus/js/wow.min.js	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/js/wow.min.js	(from https://demoxml.com/html/educampus/index.html)
11:35:38	1985/1985	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20May%202015%2017:55:26%20GMT	https://demoxml.com/html/educampus/js/main.js	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/js/main.js	(from https://demoxml.com/html/educampus/index.html)
11:35:40	269070/269070	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Feb%202014%2008:51:14%20GMT	https://demoxml.com/html/educampus/fonts/Lato-Medium.eot?	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Lato-Mediumd41d.eot	(from https://demoxml.com/html/educampus/fonts/Lato-Medium.css)
11:35:41	269070/269070	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Feb%202014%2008:51:14%20GMT	https://demoxml.com/html/educampus/fonts/Lato-Medium.eot	C:/My%20Web%20Sites/Harshit/demoxml.com/html/educampus/fonts/Lato-Medium.eot	(from https://demoxml.com/html/educampus/fonts/Lato-Medium.css)
